اباي	a b a i
اففەرەنتتى	a f f ye r ye n t t xe
اففەكتىلىك	a f f ye k t xe l xe k
اففىكسى	a f f xe k s xe
اففىكس	a f f xe k s
اففىكستەر	a f f xe k s t ye r
ٴاففاۆىت	a f f a v xe t
اففالۋستارى	a f f a l w s t a r e
اففەكتىۆتى	a f f ye k t xe v t xe
اففەكتىلەر	a f f ye k t xe l ye r
اتسەتامىنوفەن	a t s ye t a m xe n o f ye n
احا	a h a
اح	a h
اففروندار	a f f r o n d a r
احوي	a h o i
اتسەتالدەگىد	a t s ye t a l d ye g xe d
اففىلىىرلەڭەن	a f f xe l xe xe r l ye n g ye n
ٴاففىلىتاتسىيالار	a f f xe l xe t a t s xe i a l a r
ٴاففىن	a f f xe n
اففليۋكس	a f f l i w k s
اتسەتىفىكاتسىيالاۋ	a t s ye t xe f xe k a t s xe i a l a w
اتسەتىلحولىن	a t s ye t xe l h o l xe n
اتسەتىلەن	a t s ye t xe l ye n
اتسەتون	a t s ye t o n
اتسەفالدى	a t s ye f a l d e
ٴاتسىدوز	a t s xe d o z
اتسەتانىلىد	a t s ye t a n xe l xe d
اتسەتات	a t s ye t a t
اتسەتاتتى	a t s ye t a t t e
اتسەتىل	a t s ye t xe l
اشكوزدىكپەن	a sh k xo z d xe k p ye n
اشكوزدىك	a sh k xo z d xe k
اشكوز	a sh k xo z
اشپا	a sh p a
اشرام	a sh r a m
اتسىكلدى	a t s xe k l d xe
اشادى	a sh a d e
اشالار	a sh a l a r
اشارشىلىق	a sh a r sh e l e q
اشۋلانۋ	a sh w l a n w
اشۋلاندىرۋ	a sh w l a n d e r w
اشۋلاندىرادى	a sh w l a n d e r a d e
اشۋلانشاق	a sh w l a n sh a q
اشۋلانۋلار	a sh w l a n w l a r
اشۋلانشاقتىقتار	a sh w l a n sh a q t e q t a r
اشتى	a sh t e
اشتىق	a sh t e q
اشۋ	a sh w
اشۋلانبايدى	a sh w l a n b a i d e
اشىلاتىن	a sh e l a t e n
اشىلادى	a sh e l a d e
اشۋشىلار	a sh w sh e l a r
اشىلسىن	a sh e l s e n
اشىلدى	a sh e l d e
اشىلماۋ	a sh e l m a w
اشۋلاڭحان	a sh w l a n gh a n
اشۋلار	a sh w l a r
اشۋلى	a sh w l e
اشۋشى	a sh w sh e
اشىتقىلار	a sh e t q e l a r
اشىتقى	a sh e t q e
اشىتۋ	a sh e t w
اشىتقىسىز	a sh e t q e s e z
اشىق	a sh e q
اشىلۋى	a sh e l w e
اشىلعان	a sh e l gh a n
اشىپ كورسەتۋ	a sh e p   k xo r s ye t w
اشىتادى	a sh e t a d e
اشىقتىق	a sh e q t e q
اشىق تۇردە	a sh e q   t xu r d ye
اشقىش	a sh q e sh
اشىقحاتتار	a sh e q h a t t a r
اششى	a sh sh e
اشىق اۋادا	a sh e q   a w a d a
اشىق ەمەس	a sh e q   ye m ye s
اشىق جەرلەر	a sh e q   j ye r l ye r
اشىق جۇرەكتى	a sh e q   j xu r ye k t xe
اەروبتى	a ye r o b t e
اەروبىكا	a ye r o b xe k a
اەروباتىكا	a ye r o b a t xe k a
اەروگرامما	a ye r o g r a m m a
اەروبۋس	a ye r o b w s
اەرودىنامىكا	a ye r o d xe n a m xe k a
اەون	a ye o n
اەرو	a ye r o
اەروب	a ye r o b
اەروناۆىگاتسىيالىق	a ye r o n a v xe g a t s xe i a l e q
اەرولىت	a ye r o l xe t
اەروناۆتىكالىق	a ye r o n a v t xe k a l e q
اەروناۆتىكا	a ye r o n a v t xe k a
اەروفوي	a ye r o f o i
اەرودىنامىكالىق	a ye r o d xe n a m xe k a l e q
اەرودروم	a ye r o d r o m
اەروزول	a ye r o z o l
اەروزولدەر	a ye r o z o l d ye r
اياز	a i a z
ايۋرۆەدا	a i w r v ye d a
ايالداما	a i a l d a m a
ايالاۋ	a i a l a w
ايانىشتى	a i a n e sh t e
اەروعارىش	a ye r o gh a r e sh
ايۋ	a i w
ايۋلار	a i w l a r
ايۋلى	a i w l e
اياق كىىمدەر	a i a q   k xe xe m d ye r
اياق بەلگىسى	a i a q   b ye l g xe s xe
اياق استىنان	a i a q   a s t e n a n
اياق	a i a q
اياق كەزىندە	a i a q   k ye z xe n d ye
اياق كىىم	a i a q   k xe xe m
اياتوللا	a i a t o l l a
اياۋسىز	a i a w s e z
اياۋسىزدىق	a i a w s e z d e q
اياۋشىلىق	a i a w sh e l e q
ٴاياعى مۇيىزدى	a i a gh e   m xu i xe z d xe
اياقتالماۋى	a i a q t a l m a w e
اياقتامايتىن	a i a q t a m a i t e n
اياقتاۋدا	a i a q t a w d a
اياقپەن جۇمىس	a i a q p ye n   j u m e s
اياقسىزدىق	a i a q s e z d e q
اياقتالادى	a i a q t a l a d e
اياقتالاتىن	a i a q t a l a t e n
اعارتۋ	a gh a r t w
اعارتتى	a gh a r t t e
اعارتادى	a gh a r t a d e
اعارتىلعان	a gh a r t e l gh a n
اعارتۋشىلىق	a gh a r t w sh e l e q
اعارتىلماعان	a gh a r t e l m a gh a n
اياقتاۋشى	a i a q t a w sh e
اياقتاڭىز	a i a q t a n g e z
اياقتى	a i a q t e
اعالارى	a gh a l a r e
ٴاعاش دىڭى	a gh a sh   d xe n g xe
اعاش اعاش	a gh a sh   a gh a sh
اعاش كەسۋشىلەر	a gh a sh   k ye s w sh xe l ye r
اعاش كوگەرشىن	a gh a sh   k xo g ye r sh xe n
اعارتىڭىز	a gh a r t e n g e z
اعارتقىش	a gh a r t q e sh
اعارتقىشتار	a gh a r t q e sh t a r
اعاسى	a gh a s e
اعاش وڭدەۋ	a gh a sh   xo n g d ye w
اعاش ۇستاسى	a gh a sh   u s t a s e
اعاش ۇستالارى	a gh a sh   u s t a l a r e
اعاش وڭدەۋشى	a gh a sh   xo n g d ye w sh xe
اعاشتانۋشى	a gh a sh t a n w sh e
اعاش ورمانى	a gh a sh   o r m a n e
اعاش تەحنىكاسى	a gh a sh   t ye h n xe k a s e
اعاش شەبەرحاناسى	a gh a sh   sh ye b ye r h a n a s e
اعاش قاراقشى	a gh a sh   q a r a q sh e
اعاش قويماسى	a gh a sh   q o i m a s e
اعىزۋ	a gh e z w
اعىزادى	a gh e z a d e
اعۋ	a gh w
اعىلدى	a gh e l d e
اعىن سۇلبالارى	a gh e n   s u l b a l a r e
اعاشتار	a gh a sh t a r
اعاشتاردى وسىرەدى	a gh a sh t a r d e   xo s xe r ye d xe
اعاشتى	a gh a sh t e
اعاششى	a gh a sh sh e
اعىپ كەتەدى	a gh e p   k ye t ye d xe
اعىپ جاتىر	a gh e p   j a t e r
اعىنسىز	a gh e n s e z
اعىپ كەتۋ	a gh e p   k ye t w
اعىپ كەتتى	a gh e p   k ye t t xe
اعىسى	a gh e s e
اعىندار	a gh e n d a r
اعىندارى	a gh e n d a r e
اعىندى	a gh e n d e
اعىندى سۋلار	a gh e n d e   s w l a r
اقاۋ	a q a w
اق قۇمىرسقا	a q   q u m e r s q a
اق ساقالدى	a q   s a q a l d e
اقاۋلى	a q a w l e
اقاۋلىق	a q a w l e q
اقاۋلىق سەبەبىن ىزدەۋ جانە تۇزەتۋ	a q a w l e q   s ye b ye b xe n   xe z d ye w   j xa n ye   t xu z ye t w
اق	a q
اق نىەت	a q   n xe ye t
اق نىەتتى	a q   n xe ye t t xe
ٴاق پىياز	a q   p xe i a z
اقكوڭىلدىك	a q k xo n g xe l d xe k
اقكوڭىل	a q k xo n g xe l
اقجەلكەن	a q j ye l k ye n
اقپان	a q p a n
اقپارات	a q p a r a t
اقپاراتسىز	a q p a r a t s e z
اقاۋلىق تابۋشى	a q a w l e q   t a b w sh e
اقاۋلىقتار	a q a w l e q t a r
اقباۋىر	a q b a w e r
اقجارقىن	a q j a r q e n
اقتايدى	a q t a i d e
اقساقتىق	a q s a q t e q
اقساقتاۋ	a q s a q t a w
اقساقالدار	a q s a q a l d a r
اقسەركە	a q s ye r k ye
اقسۇيەكتەر	a q s xu i ye k t ye r
اقپاراتتىق	a q p a r a t t e q
اقساپ قالدى	a q s a p   q a l d e
اقساق	a q s a q
اقساق ۇيرەك	a q s a q   xu i r ye k
اقتىعى	a q t e gh e
اقتاۋ	a q t a w
اقتارىلدى	a q t a r e l d e
اقۋىز	a q w e z
اقتۇينەك	a q t xu i n ye k
اقۋىزدار	a q w e z d a r
اقتالدى	a q t a l d e
اقتالمايتىن	a q t a l m a i t e n
اقتالۋ	a q t a l w
اقتالعان	a q t a l gh a n
اقشا جىبەرۋشى	a q sh a   j xe b ye r w sh xe
اقشا جاساۋشى	a q sh a   j a s a w sh e
اقشا ساتۋشى	a q sh a   s a t w sh e
اقشا نەسىە بەرۋشى	a q sh a   n ye s xe ye   b ye r w sh xe
اقشالاي	a q sh a l a i
اقشا	a q sh a
اقشا اۋدارىمدارى	a q sh a   a w d a r e m d a r e
اقشا اۋدارىمى	a q sh a   a w d a r e m e
اقشا بەرۋشى	a q sh a   b ye r w sh xe
اقشا بەرۋشىلەر	a q sh a   b ye r w sh xe l ye r
اقىلدى ايەل	a q e l d e   xa i ye l
ٴاقىلدى جىگىت	a q e l d e   j xe g xe t
اقىلدى ەمەس	a q e l d e   ye m ye s
اقىلمەن	a q e l m ye n
اقىلسىز	a q e l s e z
اقشىل	a q sh e l
اقشىلداۋ	a q sh e l d a w
اقشىلدىق	a q sh e l d e q
اقىلدى	a q e l d e
اقىلى	a q e l e
اقىلعا قونىمدى	a q e l gh a   q o n e m d e
اقىماقتار	a q e m a q t a r
اقىلسىز اقىل	a q e l s e z   a q e l
اقىلسىز ايەل	a q e l s e z   xa i ye l
اقىلسىزدىق	a q e l s e z d e q
اقىلشى	a q e l sh e
اقىرەت كۇنى	a q e r ye t   k xu n xe
اقىرەت	a q e r ye t
اقىندار	a q e n d a r
اقىرىن	a q e r e n
اقىرى	a q e r e
اقىرىندا	a q e r e n d a
اقىماقتاۋ	a q e m a q t a w
اقىماقتىق	a q e m a q t e q
اقىماقتىقپەن	a q e m a q t e q p ye n
اقىن	a q e n
اققۋلار	a q q w l a r
اققۋ	a q q w
اققۇبالار	a q q u b a l a r
اڭ اۋلادى	a n g   a w l a d e
اقىرىنداۋ	a q e r e n d a w
اقىرىندىقپەن	a q e r e n d e q p ye n
اقىسىز	a q e s e z
اققالا	a q q a l a
اققان	a q q a n
اڭشى	a n g sh e
اڭساۋ	a n g s a w
اڭسادى	a n g s a d e
اڭشىلىق	a n g sh e l e q
اڭشىلار	a n g sh e l a r
اڭىزدار	a n g e z d a r
اڭ اۋلايدى	a n g   a w l a i d e
اڭ اۋلايتىن جەر	a n g   a w l a i t e n   j ye r
اڭ اۋلاۋ	a n g   a w l a w
اڭ تەرىسى	a n g   t ye r xe s xe
بابۋ	b a b w
بااا	b a a a
اڭقاۋ	a n g q a w
باگرام	b a g r a m
بابۋشكا	b a b w sh k a
باگاج	b a g a j
اڭىزعا اينالعان	a n g e z gh a   a i n a l gh a n
اڭعالدىق	a n g gh a l d e q
اڭعارلار	a n g gh a r l a r
اڭعارتپا	a n g gh a r t p a
بازار	b a z a r
بازالت	b a z a l t
ٴبازىست	b a z xe s t
بازۋكا	b a z w k a
بادام	b a d a m
ٴبادمىنتون	b a d m xe n t o n
باج سالىعى	b a j   s a l e gh e
بازالدى	b a z a l d e
بايلام بەرۋ	b a i l a m   b ye r w
بايلام	b a i l a m
بايلانىس جاسادى	b a i l a n e s   j a s a d e
بايلانىس	b a i l a n e s
بايلانىستا بولۋ	b a i l a n e s t a   b o l w
بايلانىستار	b a i l a n e s t a r
باي ادام	b a i   a d a m
بايبىۆىك	b a i b xe v xe k
بايداركا	b a i d a r k a
بايلاۋ	b a i l a w
بايلانىستىرىڭىز	b a i l a n e s t e r e n g e z
بايلانىستىرىلعان	b a i l a n e s t e r e l gh a n
بايلانىستىرۋشىلار	b a i l a n e s t e r w sh e l a r
بايلانىسقان	b a i l a n e s q a n
بايلانىستىرعىشتار	b a i l a n e s t e r gh e sh t a r
بايلاڭحان	b a i l a n gh a n
بايلانىستىرادى	b a i l a n e s t e r a d e
بايلانىستىرۋ	b a i l a n e s t e r w
بايلانىستىرۋشى	b a i l a n e s t e r w sh e
بايسالدىلىق	b a i s a l d e l e q
بايسالدى تۇردە	b a i s a l d e   t xu r d ye
بايۋ	b a i w
بايىپتى	b a i e p t e
بايلاڭىز	b a i l a n g e z
بايلىق	b a i l e q
بايرا	b a i r a
بايسالدى	b a i s a l d e
بايقاماۋ	b a i q a m a w
بايقالاتىن	b a i q a l a t e n
بايقالادى	b a i q a l a d e
بايقايدى	b a i q a i d e
بايقالدى	b a i q a l d e
بايقاپ كورۋ	b a i q a p   k xo r w
بايىپتىلىق	b a i e p t e l e q
بايىرعى	b a i e r gh e
بايىتادى	b a i e t a d e
بايعۇس	b a i gh u s
بايقادى	b a i q a d e
باكلاجان	b a k l a j a n
باكالاۆرلار	b a k a l a v r l a r
باكالاۆر	b a k a l a v r
باككاناليان	b a k k a n a l i a n
باكەلىت	b a k ye l xe t
باككارات	b a k k a r a t
بايقاۋ	b a i q a w
بايقاۋلار	b a i q a w l a r
بايقاۋشى	b a i q a w sh e
بايقاعان	b a i q a gh a n
باك	b a k
باكتەرىتسىد	b a k t ye r xe t s xe d
باكتەرىياعا قارسى	b a k t ye r xe i a gh a   q a r s e
باكتەرىيالار	b a k t ye r xe i a l a r
باكتەرىيالىق	b a k t ye r xe i a l e q
باكس	b a k s
باكسى	b a k s e
باكتەرىولوگىيا	b a k t ye r xe o l o g xe i a
باكتەرىولوگىيالىق	b a k t ye r xe o l o g xe i a l e q
بال اراسى	b a l   a r a s e
بال ايى	b a l   a i e
بال ايلارى	b a l   a i l a r e
بالا اي	b a l a   a i
بالا تاربىەسى	b a l a   t xa r b xe ye s xe
بالا تاربىەشىسى	b a l a   t xa r b xe ye sh xe s xe
باكشەش	b a k sh ye sh
باكشىش	b a k sh xe sh
بال	b a l
بالالار ۇيلەرى	b a l a l a r   xu i l ye r xe
بالالار ارباسى	b a l a l a r   a r b a s e
بالالار	b a l a l a r
بالالىق شاق	b a l a l e q   sh a q
ٴبالالار ۇيى	b a l a l a r   xu i xe
بالامەن	b a l a m ye n
ٴبالا تارىزدى	b a l a   t xa r xe z d xe
بالاباقشا	b a l a b a q sh a
بالاكلاۆا	b a l a k l a v a
بالالايكا	b a l a l a i k a
بالاۋىزدار	b a l a w e z d a r
بالاۋىز جارىعى	b a l a w e z   j a r e gh e
ٴبالداچىن	b a l d a ch xe n
بالبول	b a l b o l
بالگەر	b a l g ye r
بالاپان	b a l a p a n
بالاپاندار	b a l a p a n d a r
بالاسىز	b a l a s e z
بالاۋىز	b a l a w e z
بالەن	b a l ye n
بالدىرلار	b a l d e r l a r
بالدىركوك	b a l d e r k xo k
بالەرىنا	b a l ye r xe n a
بالەرىنالار	b a l ye r xe n a l a r
بالەت	b a l ye t
بالداق	b a l d a q
بالداقتار	b a l d a q t a r
بالدىر	b a l d e r
بالدىرداق	b a l d e r d a q
باللادالار	b a l l a d a l a r
باللادا	b a l l a d a
باللاستار	b a l l a s t a r
باللاستى	b a l l a s t e
بالەتتەر	b a l ye t t ye r
ٴبالىحۋ	b a l xe h w
بالكون	b a l k o n
بالكوندار	b a l k o n d a r
بالۋستەر	b a l w s t ye r
بالتىر	b a l t e r
بالتا	b a l t a
بالشىرىندار	b a l sh e r e n d a r
بالشىقتاڭحان	b a l sh e q t a n gh a n
باللىستىكا	b a l l xe s t xe k a
باللىستىكالىق	b a l l xe s t xe k a l e q
بالمۇزداق	b a l m u z d a q
ٴبالونى	b a l o n xe
بالسا	b a l s a
بالىق اۋلاۋ	b a l e q   a w l a w
بالىق اۋلايتىن ايەل	b a l e q   a w l a i t e n   xa i ye l
بالىق اۋلادى	b a l e q   a w l a d e
بالىقشى	b a l e q sh e
بالىق شارۋاشىلىعى	b a l e q   sh a r w a sh e l e gh e
بالىقتار	b a l e q t a r
بالشىقتار	b a l sh e q t a r
بالى	b a l e
بالىق	b a l e q
بالىق ايدىنى	b a l e q   a i d e n e
بالعالار	b a l gh a l a r
باليۋسترادالار	b a l i w s t r a d a l a r
بالقاراعاي	b a l q a r a gh a i
بالعىن	b a l gh e n
بالعىندىق	b a l gh e n d e q
بالىقشىلار	b a l e q sh e l a r
بالزام	b a l z a m
بالزامدار	b a l z a m d a r
باليۋسترادا	b a l i w s t r a d a
بامبۋكتار	b a m b w k t a r
بامبۋك	b a m b w k
ٴبامبىنو	b a m b xe n o
بامپەر	b a m p ye r
بامف	b a m f
بالقۋ	b a l q w
بالقىما	b a l q e m a
بالقىپ كەتەدى	b a l q e p   k ye t ye d xe
بالقىتىلعان	b a l q e t e l gh a n
باندانا	b a n d a n a
باندالار	b a n d a l a r
باندا	b a n d a
باندىتتەر	b a n d xe t t ye r
باندىكۋت	b a n d xe k w t
ٴباندىت	b a n d xe t
بانال	b a n a l
بانان	b a n a n
باناندار	b a n a n d a r
باڭلەر	b a n g l ye r
ٴباڭلىڭ	b a n g l xe n g
بانىستەر	b a n xe s t ye r
بانجوس	b a n j o s
بانجو	b a n j o
بانكەت	b a n k ye t
بانكا	b a n k a
بانكالار	b a n k a l a r
باندولەر	b a n d o l ye r
باندولەرلەر	b a n d o l ye r l ye r
باندولىەر	b a n d o l xe ye r
بانكروتقا ۇشىرادى	b a n k r o t q a   u sh e r a d e
بانكروت	b a n k r o t
بانكرول	b a n k r o l
بانكنوتتار	b a n k n o t t a r
بانكروتتىق	b a n k r o t t e q
بانكتەر	b a n k t ye r
بانكەتتەر	b a n k ye t t ye r
بانكىر	b a n k xe r
بانكىرلەر	b a n k xe r l ye r
بانكنوت	b a n k n o t
بانتەر	b a n t ye r
بانتام	b a n t a m
باننوك	b a n n o k
بانتۋ	b a n t w
بانتەرلەر	b a n t ye r l ye r
بانيان	b a n i a n
بانكتىك	b a n k t xe k
باننەر	b a n n ye r
باننەرلەر	b a n n ye r l ye r
باننىستەر	b a n n xe s t ye r
بار ىنتاسىمەن	b a r   e n t a s e m ye n
باپتىستەرىيا	b a p t xe s t ye r xe i a
باپتاۋشى	b a p t a w sh e
بارابان	b a r a b a n
بارا جاتىر	b a r a   j a t e r
باراباندار	b a r a b a n d a r
بانيان اعاشى	b a n i a n   a gh a sh e
باوباب	b a o b a b
باپتاندىرۋ	b a p t a n d e r w
باردى	b a r d e
ٴباربىتۋراتتار	b a r b xe t w r a t t a r
ٴباربىتۋرات	b a r b xe t w r a t
ٴباربىتالدى	b a r b xe t a l d e
بارد	b a r d
باردتار	b a r d t a r
بارابانشى	b a r a b a n sh e
بارابانشىلار	b a r a b a n sh e l a r
بارابار	b a r a b a r
باراتىن جەرى	b a r a t e n   j ye r xe
باربەكيۋ	b a r b ye k i w
ٴبارىتون	b a r xe t o n
ٴبارىوندار	b a r xe o n d a r
ٴبارىي	b a r xe i
ٴبارىتوندار	b a r xe t o n d a r
باركارولە	b a r k a r o l ye
باردىق	b a r d e q
بارەلدى	b a r ye l d xe
بارەر	b a r ye r
بارجا	b a r j a
بارلىق مۇمكىندىكتە	b a r l e q   m xu m k xe n d xe k t ye
بارلىعى	b a r l e gh e
بارلاۋشى	b a r l a w sh e
بارلىعىڭ	b a r l e gh e n g
بارلىعىندا	b a r l e gh e n d a
بارلىق جەردە	b a r l e q   j ye r d ye
باركەر	b a r k ye r
باركەرلەر	b a r k ye r l ye r
بارلار	b a r l a r
بارلاۋ	b a r l a w
بارلاۋ جۇمىستارى	b a r l a w   j u m e s t a r e
بارومەترلىك	b a r o m ye t r l xe k
بارومەترلەر	b a r o m ye t r l ye r
بارومەتر	b a r o m ye t r
باروندار	b a r o n d a r
بارون	b a r o n
باروناج	b a r o n a j
بارمەن	b a r m ye n
بارمەندەر	b a r m ye n d ye r
باروگراف	b a r o g r a f
باروككو	b a r o k k o
بارراكۋدا	b a r r a k w d a
ٴبارونى	b a r o n xe
باررىكادا	b a r r xe k a d a
ٴباررىو	b a r r xe o
باروندىق	b a r o n d e q
بارونەسسا	b a r o n ye s s a
بارونەت	b a r o n ye t
بارونەتىكالىق	b a r o n ye t xe k a l e q
بارىنشا	b a r e n sh a
بارىمتاعا الىڭحاندار	b a r e m t a gh a   a l e n gh a n d a r
بارىمتاعا الىندى	b a r e m t a gh a   a l e n d e
بارىنشا كوبەيتىلدى	b a r e n sh a   k xo b ye i t xe l d xe
بارىنشا كوبەيتەدى	b a r e n sh a   k xo b ye i t ye d xe
بارىستار	b a r e s t a r
بارتەرلەر	b a r t ye r l ye r
بارتەرلىك	b a r t ye r l xe k
بارۋ كارتاسى	b a r w   k a r t a s e
بارۋش	b a r w sh
باس اۋرۋى	b a s   a w r w e
باس اينالۋ	b a s   a i n a l w
باس كەيىپكەرلەر	b a s   k ye i xe p k ye r l ye r
باس جول	b a s   j o l
باس كەيىپكەر	b a s   k ye i xe p k ye r
بارەر	b a r ye r
بارعان	b a r gh a n
بارقىت	b a r q e t
باس	b a s
باس سۇيەكتەر	b a s   s xu i ye k t ye r
باس سۇيەك	b a s   s xu i ye k
باس پەرىشتە	b a s   p ye r xe sh t ye
باس تارتادى	b a s   t a r t a d e
باس تارتۋ	b a s   t a r t w
باس كىىم	b a s   k xe xe m
باس كىىمدەر	b a s   k xe xe m d ye r
باس كىىممەن	b a s   k xe xe m m ye n
ٴباس مىى	b a s   m xe e
باس ارىپپەن جازىلادى	b a s   xa r xe p p ye n   j a z e l a d e
باس ارىپپەن جازادى	b a s   xa r xe p p ye n   j a z a d e
باس قوندىرعى	b a s   q o n d e r gh e
باسا ايتتى	b a s a   a i t t e
باس ارىپتەر	b a s   xa r xe p t ye r
باسا نازار اۋدارادى	b a s a   n a z a r   a w d a r a d e
باس تارتۋشىلار	b a s   t a r t w sh e l a r
باس تارتىلدى	b a s   t a r t e l d e
باس تاستى	b a s   t a s t e
باس تەرىسى	b a s   t ye r xe s xe
باسپا ماشىنكاسىن جازۋ	b a s p a   m a sh xe n k a s e n   j a z w
باسپا ماشىنكاسى	b a s p a   m a sh xe n k a s e
باسپا	b a s p a
باسپالداقتار	b a s p a l d a q t a r
باسپايتىن	b a s p a i t e n
باسپالداق	b a s p a l d a q
باسا نازار اۋدارىڭىز	b a s a   n a z a r   a w d a r e n g e z
باسەر	b a s ye r
باسكەت	b a s k ye t
باسكەتبول	b a s k ye t b o l
ٴباسپاسوز قىزمەتكەرى	b a s p a s xo z   q e z m ye t k ye r xe
ٴباسپاسوز قىزمەتكەرلەرى	b a s p a s xo z   q e z m ye t k ye r l ye r xe
باسپاسى	b a s p a s e
باسس	b a s s
باسسەيندەر	b a s s ye i n d ye r
باسسو	b a s s o
باسپالداقتاردىڭ ۇشۋى	b a s p a l d a q t a r d e n g   u sh w e
باسپانا	b a s p a n a
باسپانالار	b a s p a n a l a r
باسپاناسىز	b a s p a n a s e z
باستاما	b a s t a m a
باستالعان	b a s t a l gh a n
باستالماعان	b a s t a l m a gh a n
باستامالار	b a s t a m a l a r
باستاماشىلار	b a s t a m a sh e l a r
باسسىز	b a s s e z
باستا	b a s t a
باستايدى	b a s t a i d e
باستالدى	b a s t a l d e
باستاۋشىلار	b a s t a w sh e l a r
باستاۋشى	b a s t a w sh e
باستاۋ	b a s t a w
باستاۋى	b a s t a w e
ٴباستىنادو	b a s t xe n a d o
باستان كەشۋدە	b a s t a n   k ye sh w d ye
باستاپ	b a s t a p
باستاپقى	b a s t a p q e
باستاپقىدا	b a s t a p q e d a
باستار اتاعى	b a s t a r   a t a gh e
باسشىلىق	b a s sh e l e q
باسۋ	b a s w
باستىقتار	b a s t e q t a r
باسشىلارى	b a s sh e l a r e
باسشىلار	b a s sh e l a r
باسشىلىققا الادى	b a s sh e l e q q a   a l a d e
ٴباستىون	b a s t xe o n
باستى رولدە	b a s t e   r xo l d ye
باستىرۋ	b a s t e r w
باستىرىلدى	b a s t e r e l d e
باستىرعىش	b a s t e r gh e sh
باسىلىمدار	b a s e l e m d a r
باسىم بولدى	b a s e m   b o l d e
باسىم	b a s e m
باسىم بولادى	b a s e m   b o l a d e
باسىلدى	b a s e l d e
باسىلمايتىن	b a s e l m a i t e n
باسىلماعان	b a s e l m a gh a n
باسىلىم	b a s e l e m
باسىمدىقتار	b a s e m d e q t a r
باسىمدىق بەرىڭىز	b a s e m d e q   b ye r xe n g xe z
باسىمدىق بەرۋ	b a s e m d e q   b ye r w
باسىمدىقتارى	b a s e m d e q t a r e
باسىن بۇرادى	b a s e n   b u r a d e
باسىم بولۋ	b a s e m   b o l w
باسىمدى	b a s e m d e
باسىمدىق	b a s e m d e q
باسىپ الۋ	b a s e p   a l w
باسىپ وزدى	b a s e p   o z d e
باسىپ كىردى	b a s e p   k xe r d xe
باسىپ وزۋ	b a s e p   o z w
باسىن بۇرۋ	b a s e n   b u r w
باسىن كەسۋ	b a s e n   k ye s w
باسىن شايقادى	b a s e n   sh a i q a d e
باسىندا	b a s e n d a
باسقا جاقتان	b a s q a   j a q t a n
باسقا	b a s q a
باسىڭىز	b a s e n g e z
باسقا الەمدە	b a s q a   xa l ye m d ye
باسقا جەردە	b a s q a   j ye r d ye
باسىپ شىعارادى	b a s e p   sh e gh a r a d e
باسىپ شىعارۋ	b a s e p   sh e gh a r w
باسىپ شىعارۋعا بولادى	b a s e p   sh e gh a r w gh a   b o l a d e
باسىپ شىعارىلمايتىن	b a s e p   sh e gh a r e l m a i t e n
باسقارۋشىلار	b a s q a r w sh e l a r
باسقارۋشى	b a s q a r w sh e
باسقارۋلار	b a s q a r w l a r
باسقارىلمادى	b a s q a r e l m a d e
باسقارىلاتىن	b a s q a r e l a t e n
باسقارىلدى	b a s q a r e l d e
باسقارادى	b a s q a r a d e
باسقاراتىن	b a s q a r a t e n
باسقاردى	b a s q a r d e
باسقارۋ	b a s q a r w
باسقارۋ ەلەمەنتتەرى	b a s q a r w   ye l ye m ye n t t ye r xe
بات	b a t
باسقىشتار	b a s q e sh t a r
باسقىش	b a s q e sh
باتا	b a t a
باتا بەرۋ	b a t a   b ye r w
باسقارىلماعان	b a s q a r e l m a gh a n
باسقاتىرعىش	b a s q a t e r gh e sh
باسقاشا	b a s q a sh a
باسقىنشى	b a s q e n sh e
باتاسىن بەرەدى	b a t a s e n   b ye r ye d xe
باتاسىن بەردى	b a t a s e n   b ye r d xe
باتاسىن بەر	b a t a s e n   b ye r
باتاتا	b a t a t a
باتىستە	b a t xe s t ye
باتالار	b a t a l a r
باتالوندار	b a t a l o n d a r
باتالونى	b a t a l o n e
باتارەيا	b a t a r ye i a
باتارەيالار	b a t a r ye i a l a r
باتسمان	b a t s m a n
باتپاقتى جەر	b a t p a q t e   j ye r
باتپاقتى	b a t p a q t e
باتتى	b a t t e
باتۋت	b a t w t
باتلەر	b a t l ye r
باتمان	b a t m a n
باتپاق	b a t p a q
باتپاقتار	b a t p a q t a r
باتىپ بارا جاتىر	b a t e p   b a r a   j a t e r
باتىلى	b a t e l e
باتىر	b a t e r
باتىپ كەتتى	b a t e p   k ye t t xe
باتىپ كەتۋ	b a t e p   k ye t w
باتىل	b a t e l
باتىلداۋ	b a t e l d a w
باتىلدى	b a t e l d e
باتىلدىق	b a t e l d e q
باتىرۋ	b a t e r w
باتىرماسىن باسىڭىز	b a t e r m a s e n   b a s e n g e z
باتىرمالار	b a t e r m a l a r
باتىستان	b a t e s t a n
باتىرىلعان	b a t e r e l gh a n
باتىس	b a t e s
باتىرادى	b a t e r a d e
باتىرلار	b a t e r l a r
باتىرلىق	b a t e r l e q
باتىرما	b a t e r m a
باۋراپ الدى	b a w r a p   a l d e
باۋراپ الادى	b a w r a p   a l a d e
باۋلۋ	b a w l w
باۋىر ەتى	b a w e r   ye t xe
باۋىرلاستىق	b a w e r l a s t e q
باتىستاندىرۋ	b a t e s t a n d e r w
باتىستىق	b a t e s t e q
